quantity,name,simpleName,set,cardNumber,setCode,printing,condition,language,rarity,productId,sku
1,"Chandra, Torch of Defiance","Chandra, Torch of Defiance",Kaladesh,110,KLD,Normal,Near Mint,English,Mythic,122645,3200269
1,"Varragoth, Bloodsky Sire","Varragoth, Bloodsky Sire",Kaldheim,115,KHM,Foil,Near Mint,English,Rare,230102,4702547
1,Dreadbore,Dreadbore,Return to Ravnica,157,RTR,Normal,Near Mint,English,Rare,66396,1042535
1,Blood on the Snow (Extended Art),Blood on the Snow,Kaldheim,348,KHM,Normal,Near Mint,English,Rare,230738,4730862
1,Read the Bones,Read the Bones,Theros,101,THS,Normal,Near Mint,English,Common,71022,1131617
1,"Gonti, Lord of Luxury","Gonti, Lord of Luxury",Kaladesh,84,KLD,Normal,Near Mint,English,Rare,122657,3200389
1,Syphon Mind,Syphon Mind,Commander,104,CMD,Normal,Near Mint,English,Common,47331,471651
1,Sol Ring,Sol Ring,Commander 2014,270,C14,Normal,Near Mint,English,Uncommon,94434,1271517
1,Opposition Agent,Opposition Agent,Commander Legends,141,CMR,Normal,Near Mint,English,Rare,226314,4629094
8,"Birgi, God of Storytelling","Birgi, God of Storytelling",Kaldheim,123,KHM,Normal,Near Mint,English,Rare,230903,4738558
1,Feed the Swarm,Feed the Swarm,Zendikar Rising,102,ZNR,Foil,Near Mint,English,Common,221953,4555662
1,"Etali, Primal Storm","Etali, Primal Storm",Commander 2020,151,C20,Normal,Near Mint,English,Rare,212437,4385595
1,Sign in Blood,Sign in Blood,Magic 2011 (M11),117,M11,Normal,Near Mint,English,Common,35604,391307
1,Thieving Amalgam,Thieving Amalgam,Commander 2019,21,C19,Normal,Near Mint,English,Rare,196459,4151573
1,Canyon Slough,Canyon Slough,Amonkhet,239,AKH,Normal,Near Mint,English,Rare,129681,3325271
1,Chaos Warp,Chaos Warp,Commander 2020,146,C20,Normal,Near Mint,English,Rare,212487,4387985
1,Hero's Downfall,Hero's Downfall,Theros,90,THS,Normal,Near Mint,English,Rare,71183,1132833
1,Fellwar Stone,Fellwar Stone,Fifth Edition,369,5ED,Normal,Near Mint,English,Uncommon,2144,16265
1,Reforge the Soul,Reforge the Soul,Commander 2016,132,C16,Normal,Near Mint,English,Rare,124603,3246954
1,Burnished Hart,Burnished Hart,Commander Legends,302,CMR,Normal,Near Mint,English,Uncommon,227116,4661820
1,Solemn Simulacrum,Solemn Simulacrum,Commander 2015,269,C15,Normal,Near Mint,English,Rare,108103,3005797
1,Ravenous Chupacabra,Ravenous Chupacabra,Jumpstart,269,JMP,Normal,Near Mint,English,Uncommon,216139,4476020
1,Coldsteel Heart,Coldsteel Heart,Coldsnap,136,CSP,Normal,Near Mint,English,Uncommon,14016,25618
8,"Tergrid, God of Fright","Tergrid, God of Fright",Kaldheim,112,KHM,Normal,Near Mint,English,Rare,230450,4721854
1,Poison the Cup,Poison the Cup,Kaldheim,103,KHM,Normal,Near Mint,English,Uncommon,230726,4729592
1,Go for the Throat,Go for the Throat,Mirrodin Besieged,43,MBS,Normal,Near Mint,English,Uncommon,39087,414253
1,Luxury Suite,Luxury Suite,Battlebond,82,BBD,Normal,Near Mint,English,Rare,166661,3743844
1,Valakut Awakening,Valakut Awakening,Zendikar Rising,174,ZNR,Foil,Near Mint,English,Rare,221774,4539312
1,"Angrath, the Flame-Chained","Angrath, the Flame-Chained",Rivals of Ixalan,152,RIX,Normal,Near Mint,English,Mythic,155674,3568834
1,Deadly Rollick,Deadly Rollick,Commander 2020,42,C20,Normal,Near Mint,English,Rare,212221,4373633
1,Faithless Looting,Faithless Looting,Ultimate Masters,128,UMA,Normal,Near Mint,English,Common,180790,3914080
1,Rakdos's Return,Rakdos's Return,Return to Ravnica,188,RTR,Normal,Near Mint,English,Mythic,66404,1042526
1,Command Tower,Command Tower,Commander 2020,264,C20,Normal,Near Mint,English,Common,212200,4372653
1,Thran Dynamo,Thran Dynamo,Iconic Masters,230,IMA,Foil,Near Mint,English,Uncommon,145452,3468037
1,Dead of Winter,Dead of Winter,Modern Horizons,85,MH1,Normal,Near Mint,English,Rare,191139,4064661
1,Smoldering Marsh,Smoldering Marsh,Battle for Zendikar,247,BFZ,Normal,Near Mint,English,Rare,104304,2950058
