quantity,name,simpleName,set,cardNumber,setCode,printing,condition,language,rarity,productID,sku
1,"Chandra, Torch of Defiance","Chandra, Torch of Defiance",Kaladesh,110,KLD,Normal,Near Mint,English,Mythic,122645,3200269
1,"Varragoth, Bloodsky Sire","Varragoth, Bloodsky Sire",Kaldheim,115,KHM,Foil,Near Mint,English,Rare,230102,4702547
1,Dreadbore,Dreadbore,Return to Ravnica,157,RTR,Normal,Near Mint,English,Rare,66396,1042535
1,Blood on the Snow (Extended Art),Blood on the Snow,Kaldheim,348,KHM,Normal,Near Mint,English,Rare,230738,4730862
1,Read the Bones,Read the Bones,Theros,101,THS,Normal,Near Mint,English,Common,71022,1131617
1,"Gonti, Lord of Luxury","Gonti, Lord of Luxury",Kaladesh,84,KLD,Normal,Near Mint,English,Rare,122657,3200389
1,Syphon Mind,Syphon Mind,Commander,104,CMD,Normal,Near Mint,English,Common,47331,471651
1,Sol Ring,Sol Ring,Commander 2014,270,C14,Normal,Near Mint,English,Uncommon,94434,1271517
1,Opposition Agent,Opposition Agent,Commander Legends,141,CMR,Normal,Near Mint,English,Rare,226314,4629094
5,"Birgi, God of Storytelling","Birgi, God of Storytelling",Kaldheim,123,KHM,Normal,Near Mint,English,Rare,230903,4738558
1,Feed the Swarm,Feed the Swarm,Zendikar Rising,102,ZNR,Foil,Near Mint,English,Common,221953,4555662
1,"Etali, Primal Storm","Etali, Primal Storm",Commander 2020,151,C20,Normal,Near Mint,English,Rare,212437,4385595
1,Sign in Blood,Sign in Blood,Magic 2011 (M11),117,M11,Normal,Near Mint,English,Common,35604,391307
